EllipsoidCode,DatumCode,DatumName,Flattening,SemiMajorAxis
CLARKE_1866,PUERTO_RICO,Puerto Rico,294.9786982,6378206.4
CLARKE_1880,ADINDAN,Adindan,293.465,6378249.145
CLARKE_1880,ANTIGUA_ISLAND_ASTRO_1943,Antigua Island Astro 1943,293.465,6378249.145
CLARKE_1880,ARC_1950,Arc 1950,293.465,6378249.145
CLARKE_1880,ARC_1960,Arc 1960,293.465,6378249.145
CLARKE_1880,AYABELLE_LIGHTHOUSE,Ayabelle Lighthouse,293.465,6378249.145
CLARKE_1880,BEKAA_VALLEY_1920_IGN,Bekaa Valley 1920 (IGN),293.465,6378249.145
CLARKE_1880,CAPE,Cape,293.465,6378249.145
CLARKE_1880,CARTHAGE,Carthage,293.465,6378249.145
CLARKE_1880,CLARKE_1880_ELLIPSOID,Clarke 1880 ellipsoid,293.465,6378249.145
CLARKE_1880,DABOLA,Dabola,293.465,6378249.145
CLARKE_1880,DECEPTION_ISLAND,Deception Island,293.465,6378249.145
CLARKE_1880,FORT_THOMAS_1955,Fort Thomas 1955,293.465,6378249.145
CLARKE_1880,LEIGON,Leigon,293.465,6378249.145
CLARKE_1880,LIBERIA_1964,Liberia 1964,293.465,6378249.145
CLARKE_1880,MAHE_1971,Mahe 1971,293.465,6378249.145
CLARKE_1880,MERCHICH,Merchich,293.465,6378249.145
CLARKE_1880,MINNA,Minna,293.465,6378249.145
CLARKE_1880,MONTSERRAT_ISLAND_ASTRO_1958,Montserrat Island Astro 1958,293.465,6378249.145
CLARKE_1880,MPORALOKO,M'Poraloko,293.465,6378249.145
CLARKE_1880,NAHRWAN,Nahrwan,293.465,6378249.145
CLARKE_1880,NORTH_SAHARA_1959,North Sahara 1959,293.465,6378249.145
CLARKE_1880,OMAN,Oman,293.465,6378249.145
CLARKE_1880,POINT_58,Point 58,293.465,6378249.145
CLARKE_1880,POINT_NOIRE_1958,Point Noire 1958,293.465,6378249.145
CLARKE_1880,SIERRA_LEONE_1960,Sierra Leone 1960,293.465,6378249.145
CLARKE_1880,VITI_LEVU_1916,Viti Levu 1916,293.465,6378249.145
CLARKE_1880,VOIROL_1874,Voirol 1874,293.465,6378249.145
CLARKE_1880,VOIROL_1960,Voirol 1960,293.465,6378249.145
EVEREST_E_MALAYSIA,EVEREST_ELLIPSOID,"Everest ellipsoid (Brunei,Sabah,Sarawak)",300.8017,6377298.556
EVEREST_E_MALAYSIA,TIMBALAI_1948,Timbalai 1948,300.8017,6377298.556
EVEREST_INDIA_1830,EVEREST_INDIA_1830_ELLIPSOID,Everest India 1830 ellipsoid,300.8017,6377276.345
EVEREST_INDIA_1830,INDIAN_1954,Indian 1954,300.8017,6377276.345
EVEREST_INDIA_1830,INDIAN_1960,Indian 1960,300.8017,6377276.345
EVEREST_INDIA_1830,INDIAN_1975,Indian 1975,300.8017,6377276.345
EVEREST_INDIA_1830,KANDAWALA,Kandawala,300.8017,6377276.345
EVEREST_INDIA_1956,EVEREST_INDIA_1956_ELLIPSOID,Everest India 1956 ellipsoid,300.8017,6377301.243
EVEREST_INDIA_1956,INDIAN,Indian,300.8017,6377301.243
EVEREST_PAKISTAN,EVEREST_PAKISTAN_ELLIPSOID,Everest Pakistan ellipsoid,300.8017,6377309.613
EVEREST_W_MALAYSIA_1948,EVEREST_WEST_MALAYSIA_1948_ELLIPSOID,Everest W Malaysia 1948 ellipsoid,300.8017,6377304.063
EVEREST_W_MALAYSIA_1948,KERTAU_1948,Kertau 1948,300.8017,6377304.063
EVEREST_W_MALAYSIA_1969,EVEREST_WEST_MALAYSIA_1969_ELLIPSOID,Everest W Malaysia 1969 ellipsoid,300.8017,6377295.664
GRS80,GRS80_ELLIPSOID,GRS80 ellipsoid,298.257222101,6378137.0
GRS80,JAPANESE_GEODETIC_DATUM_2000,Japanese Geodetic Datum 2000,298.257222101,6378137.0
GRS80,NAD83,North American Datum 1983,298.257222101,6378137.0
GRS80,SIRGAS_SOUTH_AMERICAN_GEOCENTRIC_REFERENCE_SYSTEM,SIRGAS - South American Geocentric Reference System,298.257222101,6378137.0
HELMERT_1906,HELMERT_1906_ELLIPSOID,Helmert 1906 ellipsoid,298.3,6378200.0
HELMERT_1906,OLD_EGYPTIAN_1907,Old Egyptian 1907,298.3,6378200.0
HOUGH_1960,HOUGH_1960_ELLIPSOID,Hough 1960 ellipsoid,297.0,6378270.0
HOUGH_1960,WAKE_ENIWETOK_1960,Wake-Eniwetok 1960,297.0,6378270.0
INDONESIAN_1974,INDONESIAN_1974,Indonesian 1974,298.247,6378160.0
INTERNATIONAL_1924,AIN_EL_ABD_1970,Ain el Abd 1970,297.0,6378388.0
INTERNATIONAL_1924,ASCENSION_ISLAND_1958,Ascension Island 1958,297.0,6378388.0
INTERNATIONAL_1924,ASTRO_BEACON_E_1945,Astro Beacon E 1945,297.0,6378388.0
INTERNATIONAL_1924,ASTRO_DOS_71_4,Astro DOS 71/4,297.0,6378388.0
INTERNATIONAL_1924,ASTRO_TERN_ISLAND_FRIG_1961,Astro Tern Island (FRIG) 1961,297.0,6378388.0
INTERNATIONAL_1924,ASTRONOMIC_STATION_NO_1_1951,Astronomic Station No. 1 1951,297.0,6378388.0
INTERNATIONAL_1924,ASTRONOMIC_STATION_NO_2_1951_TRUK_ISLAND,Astronomic Station No. 2 1951 (Truk Island),297.0,6378388.0
INTERNATIONAL_1924,ASTRONOMIC_STATION_PONAPE_1951,Astronomic Station Ponape 1951,297.0,6378388.0
INTERNATIONAL_1924,ASTRONOMICAL_STATION_1952,Astronomical Station 1952,297.0,6378388.0
INTERNATIONAL_1924,BELLEVUE_IGN,Bellevue (IGN),297.0,6378388.0
INTERNATIONAL_1924,BISSAU,Bissau,297.0,6378388.0
INTERNATIONAL_1924,BOGOTA_OBSERVATORY,Bogota Observatory,297.0,6378388.0
INTERNATIONAL_1924,CAMP_AREA_ASTRO,Camp Area Astro,297.0,6378388.0
INTERNATIONAL_1924,CAMPO_INCHAUSPE,Campo Inchauspe,297.0,6378388.0
INTERNATIONAL_1924,CANTON_ASTRO_1966,Canton Astro 1966,297.0,6378388.0
INTERNATIONAL_1924,CHATHAM_ISLAND_ASTRO_1971,Chatham Island Astro 1971,297.0,6378388.0
INTERNATIONAL_1924,CHUA_ASTRO,Chua Astro,297.0,6378388.0
INTERNATIONAL_1924,CORREGO_ALEGRE,Corrego Alegre,297.0,6378388.0
INTERNATIONAL_1924,DOS_1968,DOS 1968,297.0,6378388.0
INTERNATIONAL_1924,EASTER_ISLAND_1967,Easter Island 1967,297.0,6378388.0
INTERNATIONAL_1924,EUROPEAN_1950,European 1950,297.0,6378388.0
INTERNATIONAL_1924,EUROPEAN_1979,European 1979,297.0,6378388.0
INTERNATIONAL_1924,GAN_1970,Gan 1970,297.0,6378388.0
INTERNATIONAL_1924,GEODETIC_DATUM_1949,Geodetic Datum 1949,297.0,6378388.0
INTERNATIONAL_1924,GRACIOSA_BASE_SW_1948,Graciosa Base SW 1948,297.0,6378388.0
INTERNATIONAL_1924,GUX_1_ASTRO,GUX 1 Astro,297.0,6378388.0
INTERNATIONAL_1924,HERAT_NORTH,Herat North,297.0,6378388.0
INTERNATIONAL_1924,HITO_XVIII_1963,Hito XVIII 1963,297.0,6378388.0
INTERNATIONAL_1924,HJORSEY_1955,Hjorsey 1955,297.0,6378388.0
INTERNATIONAL_1924,HONG_KONG_1963,Hong Kong 1963,297.0,6378388.0
INTERNATIONAL_1924,HU_TZU_SHAN,Hu-Tzu-Shan,297.0,6378388.0
INTERNATIONAL_1924,INTERNATIONAL_1924_ELLIPSOID,International 1924 ellipsoid,297.0,6378388.0
INTERNATIONAL_1924,ISTS_061_ASTRO_1968,ISTS 061 Astro 1968,297.0,6378388.0
INTERNATIONAL_1924,ISTS_073_ASTRO_1969,ISTS 073 Astro 1969,297.0,6378388.0
INTERNATIONAL_1924,JOHNSTON_ISLAND_1961,Johnston Island 1961,297.0,6378388.0
INTERNATIONAL_1924,KAPINGAMARANGI_ASTRONOMIC_STATION_NO_3_1951,Kapingamarangi Astronomic Station No. 3 1951,297.0,6378388.0
INTERNATIONAL_1924,KERGUELEN_ISLAND_1949,Kerguelen Island 1949,297.0,6378388.0
INTERNATIONAL_1924,KUSAIE_ASTRO_1951,Kusaie Astro 1951,297.0,6378388.0
INTERNATIONAL_1924,LEMUTA,Lemuta,297.0,6378388.0
INTERNATIONAL_1924,MIDWAY_ASTRO_1961,Midway Astro 1961,297.0,6378388.0
INTERNATIONAL_1924,NAPARIMA_1972,Naparima 1972,297.0,6378388.0
INTERNATIONAL_1924,NAPARIMA_BWI,"Naparima, BWI",297.0,6378388.0
INTERNATIONAL_1924,OBSERVATORIO_METEOROLOGICO_1939,Observatorio Meteorologico 1939,297.0,6378388.0
INTERNATIONAL_1924,OLD_HAWAIIAN_INTERNATIONAL_1924,"Old Hawaiian, International 1924",297.0,6378388.0
INTERNATIONAL_1924,PICO_DE_LAS_NIEVES,Pico de las Nieves,297.0,6378388.0
INTERNATIONAL_1924,PITCAIRN_ASTRO_1967,Pitcairn Astro 1967,297.0,6378388.0
INTERNATIONAL_1924,PORTO_SANTO_1936,Porto Santo 1936,297.0,6378388.0
INTERNATIONAL_1924,PROVISIONAL_SOUTH_AMERICAN_1956,Provisional South American 1956,297.0,6378388.0
INTERNATIONAL_1924,PROVISIONAL_SOUTH_CHILEAN_1963,Provisional South Chilean 1963,297.0,6378388.0
INTERNATIONAL_1924,QATAR_NATIONAL,Qatar National,297.0,6378388.0
INTERNATIONAL_1924,QORNOQ,Qornoq,297.0,6378388.0
INTERNATIONAL_1924,REUNION,Reunion,297.0,6378388.0
INTERNATIONAL_1924,ROME_1940,Rome 1940,297.0,6378388.0
INTERNATIONAL_1924,SANTO_DOS_1965,Santo (DOS) 1965,297.0,6378388.0
INTERNATIONAL_1924,SAO_BRAZ,Sao Braz,297.0,6378388.0
INTERNATIONAL_1924,SAPPER_HILL_1943,Sapper Hill 1943,297.0,6378388.0
INTERNATIONAL_1924,SELVAGEM_GRANDE_1938,Selvagem Grande 1938,297.0,6378388.0
INTERNATIONAL_1924,TANANARIVE_OBSERVATORY_1925,Tananarive Observatory 1925,297.0,6378388.0
