"DatumCode","Name","EllipsoidCode"
"INDONESIAN_1974","INDONESIAN_1974","INDONESIAN_1974"
"INTERNATIONAL_1924_ELLIPSOID","INTERNATIONAL_1924 ellipsoid","INTERNATIONAL_1924"
"IRELAND_1965","Ireland 1965","MODIFIED_AIRY"
"ISTS_061_ASTRO_1968","ISTS 061 Astro 1968","INTERNATIONAL_1924"
"ISTS_073_ASTRO_1969","ISTS 073 Astro 1969","INTERNATIONAL_1924"
"JAPANESE_GEODETIC_DATUM_2000","Japanese Geodetic Datum 2000","GRS80"
"JOHNSTON_ISLAND_1961","Johnston Island 1961","INTERNATIONAL_1924"
"KANDAWALA","Kandawala","EVEREST_INDIA_1830"
"KAPINGAMARANGI_ASTRONOMIC_STATION_NO_3_1951","Kapingamarangi Astronomic Station No. 3 1951","INTERNATIONAL_1924"
"KERGUELEN_ISLAND_1949","Kerguelen Island 1949","INTERNATIONAL_1924"
"KERTAU_1948","Kertau 1948","EVEREST_W_MALAYSIA_1948"
"KOREAN_GEODETIC_SYSTEM_1995","Korean Geodetic System 1995","WGS84"
"KRASSOVSKY_1940_ELLIPSOID","KRASSOVSKY_1940 ellipsoid","KRASSOVSKY_1940"
"KUSAIE_ASTRO_1951","Kusaie Astro 1951","INTERNATIONAL_1924"
"L_C_5_ASTRO_1961","L.C. 5 Astro 1961","CLARKE_1866"
"LEIGON","Leigon","CLARKE_1880"
"LEMUTA","Lemuta","INTERNATIONAL_1924"
"LIBERIA_1964","Liberia 1964","CLARKE_1880"
"LUZON","Luzon","CLARKE_1866"
"MAHE_1971","Mahe 1971","CLARKE_1880"
"MASSAWA","Massawa","BESSEL_1841"
"MERCHICH","Merchich","CLARKE_1880"
"MIDWAY_ASTRO_1961","Midway Astro 1961","INTERNATIONAL_1924"
"MINNA","Minna","CLARKE_1880"
"MODIFIED_AIRY_ELLIPSOID","MODIFIED_AIRY ellipsoid","MODIFIED_AIRY"
"MODIFIED_FISCHER_1960_ELLIPSOID","MODIFIED_FISCHER_1960 ellipsoid","MODIFIED_FISCHER_1960"
"MONTSERRAT_ISLAND_ASTRO_1958","Montserrat Island Astro 1958","CLARKE_1880"
"MPORALOKO","M'Poraloko","CLARKE_1880"
"NAHRWAN","Nahrwan","CLARKE_1880"
"NAPARIMA_BWI","Naparima,BWI","INTERNATIONAL_1924"
"NAPARIMA_1972","Naparima 1972","INTERNATIONAL_1924"
"NORTH_SAHARA_1959","North Sahara 1959","CLARKE_1880"
"OBSERVATORIO_METEOROLOGICO_1939","Observatorio Meteorologico 1939","INTERNATIONAL_1924"
"OCOTEPEQUE_1935","Ocotepeque 1935","CLARKE_1866"
"OLD_EGYPTIAN_1907","Old Egyptian 1907","HELMERT_1906"
"OLD_HAWAIIAN_CLARKE_1866","Old Hawaiian,CLARKE_1866","CLARKE_1866"
"OLD_HAWAIIAN_INTERNATIONAL_1924","Old Hawaiian,INTERNATIONAL_1924","INTERNATIONAL_1924"
"OLD_TRINIDAD_1903","Old Trinidad 1903,CLARKE_1858","CLARKE_1858"
"OMAN","Oman","CLARKE_1880"
"ORDNANCE_SURVEY_OF_GREAT_BRITAIN_1936","Ordnance Survey of Great Britain 1936","AIRY_1830"
"PICO_DE_LAS_NIEVES","Pico de las Nieves","INTERNATIONAL_1924"
"PITCAIRN_ASTRO_1967","Pitcairn Astro 1967","INTERNATIONAL_1924"
"POINT_58","Point 58","CLARKE_1880"
"POINT_NOIRE_1958","Point Noire 1958","CLARKE_1880"
"PORTO_SANTO_1936","Porto Santo 1936","INTERNATIONAL_1924"
"PROVISIONAL_SOUTH_AMERICAN_1956","Provisional South American 1956","INTERNATIONAL_1924"
"PROVISIONAL_SOUTH_CHILEAN_1963","Provisional South Chilean 1963","INTERNATIONAL_1924"
"PUERTO_RICO","Puerto Rico","CLARKE_1866"
"QATAR_NATIONAL","Qatar National","INTERNATIONAL_1924"
